,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Malawi,2010 DHS,Region : ..Mzimba,4.2,10.7,6.1,1.3,72.3,23.5,6.7,49.6,80.8
Malawi,2010 DHS,Region : ..Nkhata Bay and Likoma,5.5,11.2,4.7,0.4,72.3,22.3,6.7,40.9,76
Malawi,2010 DHS,Region : ..Rumphi,1.2,9.2,9.9,0.7,66.7,32.1,7.4,42.7,87.8
Malawi,2010 DHS,Region : ..Dedza,26.6,10.2,2.6,0.1,65.3,8.1,2.4,40.4,50.4
Malawi,2010 DHS,Region : ..Dowa,17.4,11.9,4,0.1,66,16.6,4.8,40.7,64.2
Malawi,2010 DHS,Region : ..Kasungu,11.3,11.8,5.6,0.4,69.1,19.6,5.5,47.8,72.3
Malawi,2010 DHS,Region : ..Lilongwe,14.2,8.7,7.5,4.2,60.8,25,4.5,29.8,66.7
Malawi,2010 DHS,Region : ..Mchinji,18.2,8.1,5.7,0,64,17.8,4.2,39.2,65
Malawi,2010 DHS,Region : ..Nkhotakota,14.4,6.8,3.6,0.7,68.6,17,4.6,37.3,60.6
Malawi,2010 DHS,Region : ..Ntcheu,14.8,9.4,2.9,0.3,71.2,14,4.5,53.2,73.4
Malawi,2010 DHS,Region : ..Ntchisi,13.2,10.4,4.7,1.2,70.4,16.4,4.8,45.1,72
Malawi,2010 DHS,Region : ..Salima,19.3,6.7,4,1.5,68.3,12.5,3.2,32.6,56.9
Malawi,2010 DHS,Region : ..Balaka,13.4,10.9,5.7,1.6,66,20.6,4.9,41.8,74.9
Malawi,2010 DHS,Region : ..Blantyre,5.8,7.5,13.6,7.1,50.1,44.2,7.5,34.9,85.4
Malawi,2010 DHS,Region : ..Chikwawa,21.9,6.3,4,0.7,62.5,15.6,3.4,31.8,54.9
Malawi,2010 DHS,Region : ..Chiradzulu,10.5,7.7,3.9,1.4,73.2,16.2,4.6,41,68.3
Malawi,2010 DHS,Region : ..Machinga,25.9,7.7,3.1,0.9,62.5,11.7,3.7,40.3,57
Malawi,2010 DHS,Region : ..Mangochi,35.3,7.5,4,0.4,52.8,11.9,2.7,28.9,51.5
Malawi,2010 DHS,Region : ..Mulanje,15.1,10.9,2.8,1.3,70.4,14.6,4.2,48.1,66.2
